customer_code,customer_name,city,address1,postal,bp_salesperson,category
1002497,4 Star Electronics,Irvine,9671 Irvine Center Drive,92618,"",No rep anywhere
1002497,4 Star Electronics,San Clemente,930 Calle Negocio,92673,"",No rep anywhere
1002788,Abbott Labs,Pleasanton,"Abbott, 6101 Stoneridge Dr",94588,"",No rep anywhere
1002788,Abbott Labs,Santa Clara,3200 Lakeside Drive,95054,"",No rep anywhere
1002743,Beckman Coulter,Brea,250 South Kraemer Blvd,92821,"",No rep anywhere
1002494,Chip 1 Exchange,Laguna Hills,23422 Mill Creek Dr,92653,"",No rep anywhere
1002494,Chip 1 Exchange,Lake Forest,25652 Commercentre Dr.,92630,"",No rep anywhere
1002575,Green Light Electronics,Anaheim,5401 E Estate Ridge Rd,92807,"",No rep anywhere
1002575,Green Light Electronics,Corona,1101 California Ave,92881,"",No rep anywhere
1002581,"IBS Electronics, Inc. ",Santa Ana,"3506-D, Lake Center Drive",92704,"",No rep anywhere
1002374,J & M Aircraft,North Hollywood,7021 Radford Ave,91605,"",No rep anywhere
1001203,Merit Aerospace,Pasadena,3425 Huntington Dr.,91107,"",No rep anywhere
1001239,Microchip,,,,"",No rep anywhere
1002489,Micross Components ,Milpitas,1804 McCarthy Boulevard,95035,"",No rep anywhere
1002653,NASA - Jet Propulsion Laboratory,Pasadena ,4800 Oak Grove Dr,91109,"",No rep anywhere
1002789,National Instruments (NI),Santa Clara,4600 Patrick Henry Dr A,95054,"",No rep anywhere
1003193,Newport Corporation,Irvine,1791 Deere Avenue,92606,"",No rep anywhere
1002718,OSI Electronics,Hawthorne,12533 Chadron Avenue,90250,"",No rep anywhere
1002718,OSI Electronics,Hawthorne,12525 Chadron Ave,90250,"",No rep anywhere
1002723,ParPro Technologies Inc,Santa Ana,2700 S Fairview Street,92704,"",No rep anywhere
1002723,ParPro Technologies Inc,Tijuana,Blvd. Francisco Zarco No. 6201,,"",No rep anywhere
1002723,ParPro Technologies Inc,Vista,2811 La Mirada Drive,92081,"",No rep anywhere
1001068,Sanmina Corporation,Costa Mesa,2945 Airway Avenue,92626,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,"590 Brennan Street, Dock 7",95131,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,60 East Plumeria Drive,95134,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,2050 Bering Drive,95131,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,"540 East Trimble RD,",95131,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,30 E Plumeria Drive,95134,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,2701 Zanker Rd,95134,"",No rep anywhere
1001068,Sanmina Corporation,San Jose,"2700 N. First St., Bldg 4.",95134,"",No rep anywhere
1001218,TPS Aviation,Hayward,1515 Crocker Avenue,94544,"",No rep anywhere
1002776,Val Technologies - C002079,Riverside,6665 Doolittle Avenue,92503,"",No rep anywhere
1005092,ABX Engineering,Burlingame,875 Stanton Road,94010,Matt Tanner,BP rep is INACTIVE
1002888,ABX Engineering,,570 Haverty Ct,,Chad Swygert,BP rep is INACTIVE
1011096,AEVEX Aerospace,,"440 Stevens Ave # 150, Solana Beach, CA 92075, Estados Unido",,Jessica Garcia,BP rep is INACTIVE
1008945,AJA VIDEO SYSTEMS INC,Grass Valley,180 Litton Drive,95945 ,Alison Williams,BP rep is INACTIVE
1007944,ALPS ALPINE,Santa Clara,3151 Jay Street  Suite 101,95054,Gabriel Cisneros,BP rep is INACTIVE
1007640,ANRITSU,Morgan Hill,490 Jarvis Drive,95037-2809,Romey Kelso,BP rep is INACTIVE
1002929,ASAP Semiconductor,Irvine,"Peters Canyon, Building 100",92606,Steven Elam,BP rep is INACTIVE
1008546,ASRock,Chino,13848 Magnolia Ave,91710,Nicholas Tyler,BP rep is INACTIVE
1009486,ATX Networks,Carlsbad,2800 Whiptail Loop,92010,Will Hawk,BP rep is INACTIVE
1003568,Absolute EMS,Santa Clara,55 Aldo Avenue,95054,Danielle Slaughter,BP rep is INACTIVE
1011103,Accu-sembly Inc.,Duarte,1835 Huntington Drive,91010,Paul Maxwell,BP rep is INACTIVE
1004404,Accurate Electronics,Chatsworth,20700 Lassen St. ,91311,Will Hawk,BP rep is INACTIVE
1002370,Acuity Brands,Sacramento,6201 27th St # C,95822,Omar Zamora,BP rep is INACTIVE
1010489,Adams Rite Aerospace Inc.,Fullerton,4141 North Palm Street,92835,Sara Shelby,BP rep is INACTIVE
1001237,Advanced MP Technology Inc,San Clemente,1010 Calle Sombra,92673,Tim Premo,BP rep is INACTIVE
1004663,Advanced Technology Co.,Pasadena,2858 East Walnut Street ,91107,Will Hawk,BP rep is INACTIVE
1010400,AeroVironment ,Simi Valley ,900 Innovators Way ,93065,Elena Wilfong,BP rep is INACTIVE
1006187,Aethercomm,Carlsbad,3205 Lionshead Ave,92010,Colton Hammond,BP rep is INACTIVE
1009667,Alkira Inc,San Jose,2001 Gateway Pl #610W,95110,Anthoney Bramante,BP rep is INACTIVE
1006156,Allegion,Chino,14575 - 14585 Yorba Avenue,91710,Pablo Hernandez,BP rep is INACTIVE
1003271,"Alliance Electronics Distributor, Inc.",Rancho Santa Margarita,22412 Gilberto,92688,Steven Elam,BP rep is INACTIVE
1012067,Alta Manufacturing ,Fremont,47650 Westinghouse Drive,94539,JeanPaul Chevrier,BP rep is INACTIVE
1008846,Americhip,Los Angelos ,19032 S Vermont Ave,90248,Alison Williams,BP rep is INACTIVE
1001142,Ametek Inc, San Diego,9250 Brown Deer Road,92121-226,Steven Elam,BP rep is INACTIVE
1001142,Ametek Inc,Baldwin Park,4750 Littlejohn Street,91706,Steven Elam,BP rep is INACTIVE
1001142,Ametek Inc,Goleta,59 South La Patera Ln.,93117,Steven Elam,BP rep is INACTIVE
1001142,Ametek Inc,Irivne,2031 Main St.,92614,Steven Elam,BP rep is INACTIVE
1001142,Ametek Inc,Pleasanton,5794 W. Las Positas Blvd.,94588,Steven Elam,BP rep is INACTIVE
1007713,Amigo Tecnologia,San Diego,9476 CUSTOMHOUSE PLAZA,92154,Colton Hammond,BP rep is INACTIVE
1004022,"Ampro ADLINK Technology, Inc.",San Jose,6450 via Del Oro,95119,Carolin Zeller,BP rep is INACTIVE
1004022,"Ampro ADLINK Technology, Inc.",San Jose,"5215 Hellyer Avenue, #110,",95138,Carolin Zeller,BP rep is INACTIVE
1008372,Apollo Manufacturing,San Diego,10360 Sorrento Valley Rd,92121,Oscar Medina,BP rep is INACTIVE
1002728,Applied Materials,Fremont,940 Auburn Court,94538,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,2243 Lundy Ave,95131,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,2120 Bering Dr,95131-2013,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,6190 San Ignacio Avenue,95119,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,3101 Scott Blvd,95054-3318,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,3050 Bowers Avenue,95054,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,ATTN: Henry Barandica,95050,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,"Building 21, 1285 Walsh Ave",95050,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Sunnyvale,990 Benecia Ave.,94085,Bac Nguyen,BP rep is INACTIVE
