rfq_number,created_date,customer,rfq_type,office,description,line_count,total_qty,total_target_value
1129969,2026-02-13,RTX,EOL/LTB,Austin Office,"MVME51105E-2263
",1,2,0
1129965,2026-02-13,RTX,EOL/LTB,Austin Office,"RFQ 6000918839
-------------- NOTES PERTAINING TO THE ITEM ABOVE ---------------
G3-6 , AG-14 , UK-12 , LY-3 , WE-9 , SA-3 , HU-12 , EZ-2 , GP",4,132701,0
1129940,2026-02-12,Elbit Systems Ltd.,EOL/LTB,Austin Office,"***APAC 2/12/2026***

00094095N   XCR3256XL-10FT256I    Qty 45
1,23,24,38,4",1,48,0
1129935,2026-02-12,RTX,EOL/LTB,Austin Office,"***NB Crystal Oscillator 2/12/2026*** 
RFQ 10216 - SR 158536
567174-1   Qty 18",1,21,0
1129922,2026-02-12,RTX,EOL/LTB,Austin Office,"RFQ JD-02112026-XXX-RDA bundle - NFD Broker Bundle (due 2/20/2026) [RTXSecure]

qty 71	MC100ELT20DTG, MC100ELT20DTR2G	GP-13 SPIA1000-A EZ-2 MA-8 MR-4 WF-12 WE-9 UK-12 MV-4 G3-6 CC-9	3S19CH062-A001, 3S",4,3275,0
1129915,2026-02-12,Universal Avionics Systems Corp.,EOL/LTB,Austin Office,PI7C8150BMAE   Qty 300   Rebuy,1,303,0
1129910,2026-02-12,RTX,EOL/LTB,Austin Office,2026.02 RFP Tomahawk Astute,8,295666,0
1129902,2026-02-12,BAE SYSTEMS,EOL/LTB,Austin Office,SGA-2486Z  qty 300 (5 destruct included),1,300,0
1129881,2026-02-11,RTX,EOL/LTB,Austin Office,Need a quick turn on current market availability only for the following.  No pricing or lead times needed at this time.  Looking at several production ramp up scenarios with MDA customer and this mark,8,0,0
1129876,2026-02-11,RTX,EOL/LTB,Austin Office,"RFQ 1-20260211-0001-ASTUTE - DUE 2/19/2026
A1280A-PG176M-MAS-NFD   Qty 401   Actel",1,404,0
1129857,2026-02-11,BAE SYSTEMS,EOL/LTB,Austin Office,634052-01 ,1,25,0
1129816,2026-02-10,Elbit Systems Ltd.,EOL/LTB,Austin Office,"00044648N  LQP15MN5N6B02D  QTY 14
***QUOTED 2/11/2026 2500GP Opp*** 
Plenty of stock. 10K SPQ or 1K SPQ.
***$2750 GP without electrical testing***
$0.455 ea. / 10K MOQ.  Full reel/new & unused packagi",1,17,255.00
1129747,2026-02-09,RTX,EOL/LTB,Austin Office,,1,0,0
1129744,2026-02-09,RTX,EOL/LTB,Austin Office,Checking availability,11,3350,0
1129599,2026-02-05,RTX,EOL/LTB,Austin Office,***NSNB 2/5/2026***   H489318-10-NFD   QHDZ-2Z-5.5G  Qty ,1,0,0
1129588,2026-02-05,RTX,EOL/LTB,Austin Office,"***NS/NB 2/5/2026***
CMM2306-AJ-0G0T                                                       1248
CMM2306-AJ-000                                                          1248                            ",1,1251,0
1129532,2026-02-04,RTX,EOL/LTB,Austin Office,"***QUOTED 2/6/2026*** 
***2/4/2026 APAC***
RFQ 18063426   R20005179-0001-MAS-NFD",1,5003,0
1129529,2026-02-04,RTX,EOL/LTB,Austin Office,"***QUOTED 2/6/2026***
***2/4/2026 APAC***
RFQ 18063420   R20003759-0001-MAS-NFD",1,5003,0
1129526,2026-02-04,RTX,EOL/LTB,Austin Office,"***2/4/2026 APAC***
13779125-1   S29AL008J70BFN010",1,676,0
1129406,2026-02-02,RTX,EOL/LTB,Austin Office,"QUOTED 2/3/2026 ***$2750 GP***
***APAC 02/02/26***
PEX8632-BB50RBC-G   Qty 30",1,30,0
1129398,2026-02-02,RTX,EOL/LTB,Austin Office,"***QUOTED 02/04/2026 $38K GP Opp***
***APAC 2/3/2026***
Request for Quotation 6000916504.
Enterprise Procurement Services RAY Collins#Largo FL.
Quotation deadline: 02/09/2026.
Delivery date 03/02/2026",1,68,0
1129397,2026-02-02,RTX,EOL/LTB,Austin Office,"***QUOTED 2/3/2026 $7950.97GP***
***02/02/26 PUSHED TO AMER BUYER***   ***REBUY OT#1126409   SO505036/COV0019749***
[RTXSecure] Request for Quotation 6000916519.
Enterprise Procurement Services RAY Co",1,629,0
1129394,2026-02-02,RTX,EOL/LTB,Austin Office,"***QUOTED 2/3/2026 $2500 GP***
***02/02/26 PUSHED TO AMER BUYER***
[RTXSecure] Request for Quotation 6000916531.
Enterprise Procurement Services RAY Collins#Largo FL.
Quotation deadline: 02/09/2026.
D",1,375,0
1129335,2026-01-30,Teledyne Technologies International Corp.,EOL/LTB,Austin Office,"***NS/NB 02/02/26***   6300-45SX/02   or   1618403-8   Qty 21   TE Conn.
In support of Teledyne Advanced Electronic Solutions (TAES). ",1,24,0
1129263,2026-01-29,RTX,EOL/LTB,Austin Office,"***QUOTED 01/29/26 $2500K GP Opp***   In support of Collins Largo, FL.   PN 560-5302 Req 17959724.",1,2,0
1129215,2026-01-28,BAE SYSTEMS,EOL/LTB,Austin Office,"***NSNB 2/4/2026***
***2/3/2026 AMER***
***01/28/26 EMAE***
In support of Hudson, NH.
54+ pcs of PN M7793/1-008 .",1,54,0
1129035,2026-01-23,RTX,EOL/LTB,Austin Office,"**01/23/26 Not enough info NS/NB***
Astute RFQ 6000915112
Quotation deadline: 02/04/2026
Delivery date: 04/28/2026
Prime Contract Number: W31P4Q-24-C-0024   DPAS: DOA2
-------------- NOTES PERTAINING ",1,1354,0
1129030,2026-01-23,RTX,EOL/LTB,Austin Office,"RFQ 18024091 Microcontroller due COB January 27,2026
Proposal Effort Name: SM-3 BLK IIA FY23-25 Production
Prime Solicitation/Contract Number(s): HQ0851-24-C-0001   DPAS RATING: DXA2   Prime Customer ",1,35,0
1129028,2026-01-23,RTX,EOL/LTB,Austin Office,"***Buyers Queue 01/28/26***
RFQ No. 6000915060
Quotation deadline: 01/30/2026
Delivery date: 03/02/2026

R20005250-0003   MT40A512M16LY-062E AIT:E   Quantity 27,951

-------------- NOTES PERTAINING TO",2,36694,0
1128989,2026-01-22,RTX,EOL/LTB,Austin Office,Stock inquiry for obsolete components,16,4408,0
1128979,2026-01-22,Universal Avionics Systems Corp.,EOL/LTB,Austin Office,***APAC NO STOCK 01/23/25***   U101727-000   XCV100-4PQ240I   Qty 50,1,53,0
1128965,2026-01-22,BAE SYSTEMS,EOL/LTB,Austin Office,"***QUOTED 01/22/2026   $750 GP Opp***   In support of ES Endicott NY
AT29C256-12JI   Microchip Technology / formerly Atmel   AT29C256-12JI   Qty 50pcs
",1,53,0
1128910,2026-01-21,BAE SYSTEMS,EOL/LTB,Austin Office,"***QUOTED 01/22/26 $25K GP Opp***   In support of ES Endicott, NY
637669-52 , need ~30pcs but if we can find more let them know and he will present to the program.
637669-52  CYPRESS SEMICONDUCTOR / I",1,35,0
1128906,2026-01-21,RTX,EOL/LTB,Austin Office,"[RTXSECURE] Part 13779125-1.pdf

Part # 13779125-1 , any material with an older date code than 2011 that has gold bond wires.  In 2011 is when the MFR started making this material with copper bond wir",1,0,0
1128894,2026-01-21,RTX,EOL/LTB,Austin Office,"***QUOTED 02/02/26  not 01/22/26 $2500 GP Opp***
***01/21/26 AMER/APAC BUYER QUEUE***
In support of Enterprise Procurement Services RAY Collins#Largo FL
Request for Quotation 6000913929.
Quotation dea",1,36,0
1128827,2026-01-20,RTX,EOL/LTB,Austin Office,"***01/21/26 1 QUOTE/EDGAR TO UPDATE WITH LT***   ***NS APAC 01/21/26***   In support of Naval Power / Naval Airborne Systems / Advanced Sensor Programs Plano, TX.
PN T982C2-F-SL-015   Eaton ~131 pcs.",1,135,0
1128709,2026-01-16,RTX,EOL/LTB,Austin Office,Astute Part Inventory Request,17,9120,0
1128707,2026-01-16,RTX,EOL/LTB,Austin Office,"***APAC 01/16/26***
RFQ 1-20260116-0001-ASTUTE - DUE 1/22/2026",1,404,0
1128702,2026-01-16,BAE SYSTEMS,EOL/LTB,Austin Office,***AMER QUEUE 01/21/26***   449-S-H-FN-500A   E-T-A Engineering Technology   Qty 198,1,201,0
1128617,2026-01-15,RTX,EOL/LTB,Austin Office,"***QUOTED 01/15/2026 63pts ~$5K+ GP Opp***
In support of Collins Aerospace Largo FL
Request for Quotation 6000913401
Quotation deadline: 01/22/2026
Delivery date: 01/15/2027
H489358-6-LTB-NFD   XCF32P",1,64,0
1128581,2026-01-14,RTX,EOL/LTB,Austin Office,"Astute RFQ 6000914665

Part #                             Qty

R20004849-0001           160

H423621-1-LTB               16   M1B-0618NEZ-1
Not on the RFQ but a possible alternate H423621-2   M1B-0618",3,196,0
1128441,2026-01-12,RTX,EOL/LTB,Austin Office,"***NB Authorized can support***   In support of Tucson, AZ.  SI2337DS-T1-E3   Qty 7770   Vishay.
The request was made on behalf of their suppliers who informed Raytheon that they could not locate thes",1,7773,0
