Category,MPN,Qty_Available,Price,Date_Code,Description
DRAM,H5AN4G6NAFR-UHC,2453,0,,"DRAM,MT40A256M16GE-083E:B,1.2V,4G,1.2GHzINTEGRATED CIRCUITS"
DRAM,H5AN4G6NBJR-UHC,2453,0,,"DRAM,MT40A256M16GE-083E:B,1.2V,4G,1.2GHzINTEGRATED CIRCUITS"
DRAM,H5AN4G6NBJR-UHC,3519,0,,"DRAM,MT40A256M16TB-062E:G,1.2V,4G,1.2GHzBGA"
DRAM,H5AN8G6NCJR-VKC,3519,0,,"DRAM,MT40A256M16TB-062E:G,1.2V,4G,1.2GHzBGA"
DRAM,H5AN8G8NCJR-VKC,42,0,,"DRAM,H5AN8G8NCJR-VKC,1.2V,8G,1.333GHz,G,FBGA-78,SMD"
DRAM,H5CG46AEBTX017N,5146,0,,"IC,DRAM,DDR5,16G,X16,4800"
DRAM,MT40A1G8SA-075:E,69,0,,"DRAM,MT40A1G8SA-075:E,1.2V,8G,G,FBGA-78,"
DRAM,MT40A256M16GE-083E:B,2453,0,,"DRAM,MT40A256M16GE-083E:B,1.2V,4G,1.2GHzINTEGRATED CIRCUITS"
DRAM,MT40A256M16TB-062E:G,1041,0,,"DRAM,MT40A256M16TB-062E:G,1.2V,256M*16,1BGA"
DRAM,MT40A256M16TB-062E:G,3519,0,,"DRAM,MT40A256M16TB-062E:G,1.2V,4G,1.2GHzBGA"
DRAM,MT40A256M16TB-062E:G,2453,0,,"DRAM,MT40A256M16GE-083E:B,1.2V,4G,1.2GHzINTEGRATED CIRCUITS"
DRAM,MT40A2G8JC-062EIT:E,1105,0,,"DRAM,MT40A2G8JC-062EIT:E,1.2V,2G*8,1.6GH"
DRAM,MT40A2G8JC-062EIT:E,1105,0,,"DRAM,MT40A2G8JC-062EIT:E,1.2V,2G*8,1.6GH"
DRAM,MT40A512M16TB-062E:J,3519,0,,"DRAM,MT40A256M16TB-062E:G,1.2V,4G,1.2GHzBGA"
DRAM,MT60B1G16HC-48BIT:A,5146,0,,"IC,DRAM,DDR5,16G,X16,4800"
DRAM,MT60B1G16HC-48BITA,5146,0,,"IC,DRAM,DDR5,16G,X16,4800"
