RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130577,Jake Harris,1000453,,LM2903AVQDR,,60,3.34,USD,,,,,,,,Quoted MPN: LM2903AVQDRG4Q1.
1130577,Jake Harris,1013055,,LM2903AVQDR,,2400,1,USD,A677,,,,,,,Quoted MPN: LM2903AVQDRG4. Manual batch 6
1130577,Jake Harris,1002611,,LM2903AVQDR,,63,9.5,USD,,,,,,,,Quoted MPN: LM2903AVQDRG4Q1.
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,968,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1002611,,LM2901AVQDR,,325,2.1,USD,,,,,,,,Quoted MPN: LM2901AVQDRQ1.
1130607,Jake Harris,1006704,,?BAS16HLP-7,,53000,0.10,USD,A70D,,,,,,,Quoted MPN: BAS16215. Manual batch 11
1130607,Jake Harris,1001094,,?BAS16HLP-7,,53000,0.10,USD,A704,,,,in Stock,,,Quoted MPN: BAS16-235. Manual batch 11
1130588,Jake Harris,1002855,,STM32F103CBT6,STMicroelectronics,4936,2.00,USD,12+,,,Tray,,,,Quoted MPN: STM32F103C8T6.
1130577,Jake Harris,1006725,,ISO7740DW,,1200,1,,,1200,,,,,,Quoted MPN: ISO7740DWR.  - Manual extraction batch 2
1130577,Jake Harris,1002482,,ISO7740DW,,5,12.00,USD,-,,,,,,,Quoted MPN: ISO7740DWR.
1130577,Jake Harris,1002482,,ISO7740DW,,2020,12.00,USD,5 PCS-ROHS-,,,,,,,Quoted MPN: ISO7740DWR.
1130577,Jake Harris,1002863,,NUP2105L,,2105,2105,USD,,,,,1-G),al Parts,,Quoted MPN: NUP2105LT1-G. Manual extraction batch 4
1130577,Jake Harris,1004176,,NUP2105L,,2541,0.05,USD,21,,,,1G),,,Quoted MPN: NUP2105LT1G.
1130577,Jake Harris,1003155,,NUP2105L,,2541,11,USD,,,,,1G),peration,,Quoted MPN: NUP2105LT1G.
1130577,Jake Harris,1001036,,NUP2105L,,2105,2105,,,,,,,,,Quoted MPN: NUP2105LT1G. Manual batch 7
1130577,Jake Harris,1001036,,NUP2105L,,2105,2105,USD,,,,,1G,,,Quoted MPN: NUP2105LT1G. Manual extraction batch 4
1130577,Jake Harris,1003448,,LM2901AVQDR,,2400,0.10,,,,,,,,,Quoted MPN: LM2901AVQDRG4. Manual batch 10
1130577,Jake Harris,1000943,,LM2901AVQDR,,2400,0.10,,TO,,,,,,,"Quoted MPN: LM2901AVQDRG4. [PARTIAL - needs: price, qty]"
1130350,Jake Harris,1010445,,MSP430F149IPM,,100,10.34,USD,A669,,,,,,,Quoted MPN: MSP430F149IPMR. Manual extraction batch 3
1129833,Jake Harris,1001118,,T405-600H,STMicroelectronics,2775,0.31000,USD,18+,,3000,,2,,,"lot code removed, EXW Oradea. no F/S, Site approval is required."
1130588,Jake Harris,1001118,,LCMXO3LF-2100C-5BG256C,Lattice Semiconductor Corp,476,5.80000,USD,2241+ COO MY,,119,,2,,,"EXW TH, Lot code removed, Site approval is required"
1130577,Jake Harris,,,B340-13-F,,69,0.11,USD,,,,,,,,[VENDOR NOT IN DB: Chris Lassise <chris.l@nacsemi.com>]
1130577,Jake Harris,1003110,,80CPQ150PBF,,50,3.13,USD,A664,,,,,,, - Manual extraction
1130292,Jake Harris,1000549,,TG110-S050N2RLTR,Kopin Targeting Corporation,725,2.37,,,,,,,,,
1130292,Jake Harris,1003059,,DG403DY-T1-E3,,30,1.45,USD,,,,,,Philippines,,All quotes/orders may be subject to Tariffs/import costs **
1130577,Jake Harris,1002482,,PCL03,,25,1.25,USD,-,,,,,,,Quoted MPN: PCL037-4. Quoted MPN: PCL037-4 (RFQ MPN: PCL03).
1130577,Jake Harris,1003092,,LM2585S-5.0/NOPB,,20,5.00,USD,,,,,Stock,,,
1130577,Jake Harris,1000455,,HCF4093M013TR,,14,0.14,USD,,,,,,,,Quoted MPN: HCF4093M013TR (RFQ MPN: HCF4093M013TR).
1130577,Jake Harris,1003098,,FSM4JSMATR,,550,0.100,USD,06+,,,,,Unknown,,
1130577,Jake Harris,1000944,,80CPQ150PBF,,90,4.00,USD,,,,,,al parts,,
1130577,Jake Harris,1000944,,80CPQ150PBF,,50,2.00,,,,,,,,,Manual extraction batch 5
1130577,Jake Harris,1002595,,B340-13-F,,15400,0.02,USD,,,,,,,,
1130577,Jake Harris,1002595,,B340-13-F,,1774,0.14,USD,A675,,,,,,, - Manual extraction
1130577,Jake Harris,1000944,,HCF4093M013TR,,21400,0.30,USD,,,,,,al parts,,
1130577,Jake Harris,1000944,,HCF4093M013TR,,17500,0.50,,,,,,,,,
1130292,Jake Harris,1002595,,594D127X0020R2T,,316,0.80,USD,,,,,,,,
1130292,Jake Harris,1002595,,594D127X0020R2T,,410,1,USD,A676,,,,,,,Manual extraction batch 4
1130292,Jake Harris,1008005,,DG403DY-T1-E3,,1090,1,USD,,1,,,,,,NO-BID.
1130292,Jake Harris,1008005,,DG403DY-T1-E3,,2,1,USD,A66E,,,,,,,
1130577,Jake Harris,1000944,,TPS73801DCQR,,70,1.00,USD,QR,,,,,al parts,,
1130577,Jake Harris,1008005,,LM2591HVS-5.0/NOPB,,190,1,USD,,1,,,,,,
1130577,Jake Harris,1008005,,LM2591HVS-5.0/NOPB,,190,1,USD,A66E,,,,,,,
1130577,Jake Harris,1002595,,80CPQ150PBF,,16,7.82,USD,,,,,,,,
1130577,Jake Harris,1002595,,80CPQ150PBF,,50,3.13,USD,A676,,,,,,, - Manual extraction
1130577,Jake Harris,1001167,,ADUM4400BRWZ,,50,50,USD,,,,,,,,
1130577,Jake Harris,1003092,,LM2591HVS-5.0/NOPB,,5,10.00,USD,,,,,Stock,,,
1130577,Jake Harris,1002482,,FSM4JSMATR,,7500,0.10,,ROHS-,,,,,,, - Manual extraction batch 2
1130577,Jake Harris,1003110,,80CPQ150PBF,,250,5.00,USD,,,,,,,,
1130577,Jake Harris,1002595,,SN74HC573AQDWRQ1,,30,50.00,USD,,,,,,,,
1130577,Jake Harris,1002595,,SN74HC573AQDWRQ1,,5,1,USD,A677,,,,,,,
1130577,Jake Harris,1004810,,ISO7740QDWRQ1,,10,5.00,USD,,,,,,,,Manual extraction batch 5
