RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130292,Jake Harris,,,TG110-S050N2-RLTR,,2000,0.55,USD,,,,,"Price/Unit RoHS Phone: +49 89 45 248 235 +49 89 45 248 235 | www.electronic-direct.de | Fax +49 89 45 248 290 ELECTRONIC DIRECT GmbH | Wernher-von-Braun-Str. 10a 85640 Putzbrunn, Germany E-Mail: jyimez@electronic-direct.de Astute Electronics Inc. Jake Harris 500 Center Ridge Dr., Suite 600 US-78753 Austin Texas Our quotation: 235556 Your Contact: Julia Yimez 2000 0618 USD 0,55 / 1 Reel own stock 1.1 TG110S050N2RLTR, Halo Electronics Yes COO: CHINA Julia Yimez ELECTRONIC DIRECT GmbH Thank you Minimumorder: USD 250,00 Payment: T/T in advance Shipment: FedEx Intl. Priority, 423363045, FCA Putzbr Subject to prior sale NCNR (Non-cancellable, Non-returnable) Page 1 of 1",CN,,[VENDOR NOT IN DB: jyimez@electronic-direct.de <mailto:jyimez@electronic-direct.de>]
1130292,Jake Harris,1006407,,594D127X0020R2T,,410,0.98,USD,,,,,d.,,,
1130292,Jake Harris,1006922,,DG403DY-E3,,6,8,USD,,,,,stock,,,
1130577,Jake Harris,1006922,,VS-80CPQ150-N3,,120,4,USD,RoHs Price,,,,stock,,,
1130577,Jake Harris,1002457,,B82793S513N201,Avon Protection,1455,0.3,USD,NOT UPDATED UNTIL TO,,,,building a more resilient worl,,,
1130577,Jake Harris,1005741,,B82793S513N201,,310,0.40,USD,9826 NON ROHS LEAD T,,,,In stock,,,
1130292,Jake Harris,1011397,,MPZ2012S101AT000,,00897,0.0089,USD,1640,,,,SHIRE,,,
1130588,Jake Harris,1004855,,STM32F103CBT6,STMicroelectronics,4936,2.00,USD,12+,,,Tray,,,,Quoted MPN: STM32F103C8T6.
1130292,Jake Harris,1002495,,0251002.MRT1L,Littelfuse Inc,531,0.310,USD,N/A,,,,STOCK,,Y,1 part mfr reel x 981pcs.
1130292,Jake Harris,1002495,,0251002.MRT1L,pulse,13827,2.000,USD,07+/09+/10+/15+/17+,,,,STOCK,,N,25 pcs per FULL tube.
1130292,Jake Harris,1002495,,0251002.MRT1L,,3000,0.090,USD,MIXED,,,,STOCK,,Y,oldest dc 97+
1130292,Jake Harris,1002495,,0251002.MRT1L,Diodes Inc,72,0.034,USD,1707,,,,STOCK,,Y,Full reel
1130292,Jake Harris,1002495,,0251002.MRT1L,Intersil Corp,504,1.389,USD,N/A,,,,STOCK,,N,"2 tubes (24,48)."
1130292,Jake Harris,1002495,,0251002.MRT1L,GEN SEMI,100,0.200,USD,0412,,,,STOCK,,N,parts on original reel
1130292,Jake Harris,1002495,,0251002.MRT1L,Analog Devices,3000,1.533,USD,15+,,,,d reserve the right to renegot,TH,Y,"6 packs: x 3000pcs & 233pcs (DC 1613), 1099pcs (DC 1525), 1896pcs (DC 1517), 1500pcs (DC 1623) & 1105pcs (DC 1544)."
1130577,Jake Harris,1004274,,VS-80CPQ150-N3,,175,1.35,USD,tube,,,,stock,,,Quoted MPN: 175PCS.
1130577,Jake Harris,1006086,,TPS73801DCQR,,250,1.6,USD,QR,,,,stock,,,
1130292,Jake Harris,1005019,,J0011D21BNL,pulse,135,3.50,USD,07+ MFG,,,,zell ( Chip 1 USA ),,,
1130577,Jake Harris,1005611,,B72510E300K62,,4100,05,USD,14,,,,,,,
1130577,Jake Harris,1003212,,BCP53-16TF,S K F Engineering,30,0.30,USD,Nexperia with certs,,,,Stock,CN,,
1130292,Jake Harris,1004611,,RMCP2010FT22R0,,10,10,USD,NA but is ROHS with,,,,,,,
1130577,Jake Harris,1004611,,NTCS0603E3103FHT,,425,0.3,USD,NA but it is ROHS,,,,,,,
1130577,Jake Harris,1002998,,BCP53-16TX,,29,0.29,USD,,,,,sville,,,as listed online there is a $250. line min order.
1130577,Jake Harris,1005091,,LM2585S-5.0/NOPB,,20,5.00,USD,20pcs,,,,Stock,,,
1130577,Jake Harris,1009938,,BCP53-16TX,,1,0.49,USD,900 pcs are 1809 d/c,,,,ered original factory traceabl,,,
1130577,Jake Harris,1009938,,BCP53-16TX,,4,0.49,USD,RoHS,,,,ered original factory traceabl,,,
1130292,Jake Harris,1005058,,DG403DY-T1-E3,,30,1.45,USD,Partial reel COO,,,,stock,PH,,All quotes/orders may be subject to Tariffs/import costs **
1130577,Jake Harris,1004482,,PCL03,,25,1.25,USD,-,,,,STOCK,,,Quoted MPN: PCL037-4.
1130577,Jake Harris,1002948,,FZT751,,3700,0.12,USD,,,,,stock,,,Quoted MPN: FZT751TA.
1130577,Jake Harris,1002459,,HCF4093M013TR,,14,0.14,USD,,,,,,,,Quoted MPN: HCF4093M013TR.
1130577,Jake Harris,1002948,,80CPQ150PBF,,90,4.00,USD,,,,,stock,,,
1130577,Jake Harris,1004595,,B340-13-F,,15400,0.02,USD,/ ROHS / PBF 15400,,,,,,,
1130577,Jake Harris,1002948,,HCF4093M013TR,,21400,0.30,USD,,,,,stock,,,
1130292,Jake Harris,1004595,,594D127X0020R2T,,316,0.80,USD,/ ROHS / PBF 316 pc,,,,,,,
1130577,Jake Harris,1002948,,TPS73801DCQR,,70,1.00,USD,QR,,,,stock,,,
1130577,Jake Harris,1002457,,LM2903AVQDR,Avon Protection,60,3.34,USD,/ Rohs,,,,building a more resilient worl,,,Quoted MPN: LM2903AVQDRG4Q1.
1130577,Jake Harris,1009938,,LM2591HVS-5.0/NOPB,,190,14.90,USD,1x Reel of 500 pcs,1,,,in stock,,,
1130577,Jake Harris,1004595,,80CPQ150PBF,,16,7.82,USD,/ PBF / ROHS 16 pc,,,,,,,
1130577,Jake Harris,1003171,,ADUM4400BRWZ,,50,50,USD,,,,,,,,
1130577,Jake Harris,1005091,,LM2591HVS-5.0/NOPB,,5,10.00,USD,5pcs,,,,Stock,,,
1130577,Jake Harris,1005109,,80CPQ150PBF,,250,5.00,USD,,,,,in stock,,,
1130577,Jake Harris,1004595,,SN74HC573AQDWRQ1,,30,50.00,USD,/ ROHS / PBF 5 pcs,,,,,,,
1130577,Jake Harris,1013055,,LM2903AVQDR,,22,10.00,USD,,,,,,,,Quoted MPN: A2GLOBALELECTRONICS.COM.
1130577,Jake Harris,1002459,,LM2591HVSX-5.0/NOPB,,07,3.55,USD,Rohs,,,,Stock,,,Quoted MPN: 07+-DC.
1130577,Jake Harris,1004571,,IXDD609SI,,160,0.89,USD,,,,,Stock,,,
1130577,Jake Harris,1004482,,LM2591HVS-5.0/NOPB,,3,20.00,USD,,,,,,,,
1130577,Jake Harris,1004598,,IXDD609SI,Avon Protection,100,1,USD,Ship Date Request Da,,,,changes without notice. For im,,,
1130577,Jake Harris,1002457,,LM2591HVS-5.0/NOPB,Avon Protection,35,5,USD,,,,,building a more resilient worl,,,
1130462,Jake Harris,1006086,,MMA8451QR1,,5000,0.7,USD,,,,,stock,,,
1130462,Jake Harris,1012682,,ADS1115IDGSR,Avon Protection,1868,103,USD,Delta-Sigma 860sps 1,,,,s,,,
1130462,Jake Harris,1009763,,TPS63020DSJR,,5000,0.68,USD,,,,,STOCK,,,
1130462,Jake Harris,1004482,,ADS1115IDGSR,,2020,1.35,USD,-,,,,STOCK,,,
1130462,Jake Harris,1004469,,ADS1115IDGSR,,1131,1,USD,2328 NON FACTORY RE,,,,,,,
1130577,Jake Harris,1008042,,SPP11N80C3,,300,70,USD,stock / rohs,,,,s Tony Stratopoulos,,,Quoted MPN: H4S-1P7.
1130577,Jake Harris,1006402,,HCF4093M013TR,,50,0.50,USD,,,,,Stock,,,
1130292,Jake Harris,1004612,,TG110-S050N2LFTR,,750,0.75,USD,,,,,stock,,,
1130292,Jake Harris,1005081,,MPZ2012S101AT000,,8580,0.025,USD,,,,,stock,,,
1130577,Jake Harris,1002998,,BCP53-16TX,,17,0.22,USD,,,,,sville,,,as listed online there is a $250. line min order.
1130577,Jake Harris,1007942,,BAT54S-7-F,Diodes Inc,3000,0.0160,USD,N/A PACKAGING,,,REEL,,,,
1130577,Jake Harris,1007942,,BAT54S-7-F,Diodes Inc,2130,0.0160,USD,N/A PACKAGING,,,REEL,,,,
1130577,Jake Harris,1007942,,BAT54S-7-F,Diodes Inc,300,0.0160,USD,1530 PACKAGING,,,CUT TAPE Thank you for choosing Akira Global,,,,
