emailId,mpn,qty,price,dc,mfr,vendor_email,vendorName,vendor_search_key,rfq_number
6911,MMA8451QR1,5000,0.7,2022+,,es@sebacomp.com,SEBA Components,1004090,1130462
6863,ADS1115IDGSR,1868,1.03,,,anna.sandri@eas.it,EAS S.p.A.,1007364,1130462
6860,TPS63020DSJR,5000,0.68,2024,,excess@vital.global,Vital Global,NOT_FOUND,1130462
6865,ADS1115IDGSR,80,1.35,2024+,,sal@prismelectronics.net,Prism Electronics,1002482,1130462
6866,ADS1115IDGSR,1131,1,2328,,sales@huskyintl.com,Husky Intl,1002469,1130462
6963,IXDD609SI,160,4.25,2018+,,sales@voyagercomponents.com,Voyager Components,1002571,1130577
6974,TG110-S050N2LF-TR,750,0.75,2024+,,mike@integratedelec.com,Integrated Electronics,1002612,1130292
6837,MPZ2012S101AT000,8580,0.025,2024+,,evon.fore@kentzy.com,Kentzy,1003082,1130292
6842,BCP53-16TX,26000,0.22,17+,Nexperion,philip.humphrey@vantageairsupport.com,Vantage IC,1002998,1130577
6854,BAT54S-7-F,5430,0.01608,2023,,bitiar@akiragi.com,Akira Global,1007942,1130577
6852,ECS-200-20-5PXDU-TR,181,0.5,2023,,dannyb@nusourcetech.com,NuSource,1003800,1130577
6873,IXDD609SIA,32000,0.8,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6876,LM2591HVS-5.0/NOPB,152,1.15,2351,,bitiar@akiragi.com,Akira Global,1007942,1130577
6897,SBAS16LT1G,4800,0.019,2020+,,jessica.chung@questcomp.com,Quest Components,1002381,1130292
6896,SBAS16LT1G,53000,0.1,22+,ONSEMI,anna@rotakorn.se,Rotakorn,1002557,1130292
6994,J0011D21BNL,20,4,,,amy.g@hybridelectronics.com,Hybrid Electronics,1002787,1130292
6999,J0011D21BNL,70,3,,,jessica.chung@questcomp.com,Quest Components,1002381,1130292
6909,LM2903AVQDRG4,2900,0.095,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6868,0251002.MRT1L,18000,0.0355,2024+,,bitiar@akiragi.com,Akira Global,1007942,1130292
6871,4-1437565-2,11000,0.058,2023,,bitiar@akiragi.com,Akira Global,1007942,1130577
6892,LM2585S-5.0/NOPB,200,0.85,2407,,bitiar@akiragi.com,Akira Global,1007942,1130577
6786,DS1307Z+T&R,25000,0.375,2022+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6826,DS3231SN#T&R,2500,1.8,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6829,TG110-S050N2LFTR,1000,0.595,22+,,agiovan@carlinsystems.com,Carlin Systems,1002999,1130292
6828,NTCS0603E3103FHT,425,0.3,,,shirley@ic-tronix.com,IC-Tronix,1002611,1130577
6775,MIC5225-3.0YM5-TR,1600,0.4,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6883,SBAS16LT3G,32600,0.009,0809,ON,sales@inelcocomponents.com,Inelco,1002948,1130292
6881,B72510E300K62,1600,0.15,15+,TDK,sales@flychips.com,FlyChips,1005735,1130577
6960,DG403DYZT,4900,0.28,2301,,bitiar@akiragi.com,Akira Global,1007942,1130292
6977,LM2903AVQDRG4,12400,0.085,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6983,LM2901AVQDRG4,16000,0.095,2024+,,bitiar@akiragi.com,Akira Global,1007942,NOT_FOUND
6980,SPP11N80C3,300,3.3,0913,,sales@worldic.net,World IC,NOT_FOUND,1130577
6981,LM2901AVQDRG4,2200,0.36,1627,TI,gcorti@mistersprockets.com,MisterSprockets,1003448,NOT_FOUND
6950,BCP53-16TF,44000,0.3,18+,Nexperia,dave.pinho@flipelectronics.com,Flip Electronics,1001208,1130577
6951,BCP53-16TX,26000,0.29,18+,,philip.humphrey@vantageairsupport.com,Vantage IC,1002998,1130577
7045,LM2591HVSX-5.0/NOPB,17500,0.87,2024+,,bitiar@akiragi.com,Akira Global,1007942,1130577
6833,LCMXO3LF-2100C-5BG256C,476,5.8,2241+,,betrinid@celestica.com,Celestica,1001118,1130588
6832,T405-600H,2775,0.31,18+,STMICRO,betrinid@celestica.com,Celestica,1001118,1129833
