emailId,mpn,qty,price,dc,mfr,vendor,vendorName
6911,MMA8451QR1,5000,0.7,2022+,,es@sebacomp.com,SEBA Components
6863,ADS1115IDGSR,1868,1.03,,,anna.sandri@eas.it,EAS S.p.A.
6860,TPS63020DSJR,5000,0.68,2024,,excess@vital.global,Vital Global
6865,ADS1115IDGSR,80,1.35,2024+,,sal@prismelectronics.net,Prism Electronics
6866,ADS1115IDGSR,1131,1,2328,,sales@huskyintl.com,Husky Intl
6963,IXDD609SI,160,4.25,2018+,,sales@voyagercomponents.com,Voyager Components
6974,TG110-S050N2LF-TR,750,0.75,2024+,,mike@integratedelec.com,Integrated Electronics
6837,MPZ2012S101AT000,8580,0.025,2024+,,evon.fore@kentzy.com,Kentzy
6842,BCP53-16TX,26000,0.22,17+,Nexperion,philip.humphrey@vantageairsupport.com,Vantage IC
6854,BAT54S-7-F,5430,0.01608,2023,,bitiar@akiragi.com,Akira Global
6852,ECS-200-20-5PXDU-TR,181,0.5,2023,,dannyb@nusourcetech.com,NuSource
6873,IXDD609SIA,32000,0.8,2024+,,bitiar@akiragi.com,Akira Global
6876,LM2591HVS-5.0/NOPB,152,1.15,2351,,bitiar@akiragi.com,Akira Global
6897,SBAS16LT1G,4800,0.019,2020+,,jessica.chung@questcomp.com,Quest Components
6896,SBAS16LT1G,53000,0.1,22+,ONSEMI,anna@rotakorn.se,Rotakorn
6994,J0011D21BNL,20,4,,,amy.g@hybridelectronics.com,Hybrid Electronics
6999,J0011D21BNL,70,3,,,jessica.chung@questcomp.com,Quest Components
6909,LM2903AVQDRG4,2900,0.095,2024+,,bitiar@akiragi.com,Akira Global
6868,0251002.MRT1L,18000,0.0355,2024+,,bitiar@akiragi.com,Akira Global
6871,4-1437565-2,11000,0.058,2023,,bitiar@akiragi.com,Akira Global
6892,LM2585S-5.0/NOPB,200,0.85,2407,,bitiar@akiragi.com,Akira Global
6786,DS1307Z+T&R,25000,0.375,2022+,,bitiar@akiragi.com,Akira Global
6826,DS3231SN#T&R,2500,1.8,2024+,,bitiar@akiragi.com,Akira Global
6829,TG110-S050N2LFTR,1000,0.595,22+,,agiovan@carlinsystems.com,Carlin Systems
6828,NTCS0603E3103FHT,425,0.3,,,shirley@ic-tronix.com,IC-Tronix
6775,MIC5225-3.0YM5-TR,1600,0.4,2024+,,bitiar@akiragi.com,Akira Global
6883,SBAS16LT3G,32600,0.009,0809,ON,sales@inelcocomponents.com,Inelco
6881,B72510E300K62,1600,0.15,15+,TDK,sales@flychips.com,FlyChips
6960,DG403DYZT,4900,0.28,2301,,bitiar@akiragi.com,Akira Global
6977,LM2903AVQDRG4,12400,0.085,2024+,,bitiar@akiragi.com,Akira Global
6983,LM2901AVQDRG4,16000,0.095,2024+,,bitiar@akiragi.com,Akira Global
6980,SPP11N80C3,300,3.3,0913,,sales@worldic.net,World IC
6981,LM2901AVQDRG4,2200,0.36,1627,TI,gcorti@mistersprockets.com,MisterSprockets
6950,BCP53-16TF,44000,0.3,18+,Nexperia,dave.pinho@flipelectronics.com,Flip Electronics
6951,BCP53-16TX,26000,0.29,18+,,philip.humphrey@vantageairsupport.com,Vantage IC
7045,LM2591HVSX-5.0/NOPB,17500,0.87,2024+,,bitiar@akiragi.com,Akira Global
6833,LCMXO3LF-2100C-5BG256C,476,5.8,2241+,,betrinid@celestica.com,Celestica
6832,T405-600H,2775,0.31,18+,STMICRO,betrinid@celestica.com,Celestica
