mpn,vendor_key,vendor_name,cost,qty,times_loaded
16TQC100M,1002482,Prism Electronics,0.21,9400,2
16TQC100MYF,1002553,PC Components,0.545,1400,2
16TQC100MYF,1003957,SM Elektronik,0.5,3000,2
CY29946AXC,1002579,SPM Sales and Solution,5.30,113,2
EP5358LUI,1002446,"Touchstone Systems, LLC",7.66,925,2
FTLX8571D3BCV,1002999,Carlin Systems Inc.,20,56,2
FTSH-108-01-L-DV-P-TR,1003290,NetSource Technology,0.75,5475,2
HX1188FNLT,1003321,NexGen Digital,1.75,4316,2
J1011F21PNL,1002714,"X-Press Micro, Inc.",1,5600,2
LS14250,1002537,Impact Components,2.50,690,2
LTC4263IDE#PBF,1003021,GC Components,2.65,171,4
LTC4357IMS8#PBF,1002469,Husky International,1.00,160,2
MAX3221EEAE,1002948,Inelco Components S.L.,2.45,580,2
MAX3221EEAE+,1002948,Inelco Components S.L.,2.45,580,3
MAX3221EEAE+,1002595,SVT (Sea View Technologies Inc.),1.25,580,2
MSP430F149IPM,1008419,Partner4Chips  B.V.,5.98,225,2
MSP430F149IPMG4,1003295,Lustre-Cal Corp. ,9.75,120,3
MSP430F149IPMG4,1005293,"EGB, Inc.",9.75,120,3
MSP430F149IPMG4,1005549,Eliminating Global Boundries Inc.,9.75,120,2
NFM18PC105R0J3D,1002863,Flex-Com International Ltd,0.012,159059,2
PCA9517DP,1003327,AED Inc.,0.385,2999,2
S102M59Z5UU83L0R,1004176,Dot Comps Electronics Inc,10.00,5,2
TPS63060DSCR,1007595,Korry Electronics,1.30,3000,3
TPS63060DSCR,1003400,Sternenhof Electronics,1.9,1000,2
