RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130350,Jake Harris,1004498,,FTSH10801LDVK,Samtec,2500,1.25,USD,2023,,,,1-3 days,,Y,ROHS
1130350,Jake Harris,1002377,,C1005X5R1C104K050BA,TDK,9325,0.005,USD,10+,,,,In stock,,,
1130350,Jake Harris,1003290,,FTSH-108-01-L-DV-P-TR,,5475,0.75,USD,2022,,,,,,ROHS Factory T/Rs,
1130350,Jake Harris,1002966,,AQY210SX,,2000,0.80,GBP,,,,,,,Price only,
1130350,Jake Harris,1002612,,EPM2210F324I5N,Intel/Altera,50,50.00,USD,2137,,,,Stock,,,Tested at GETS Florida
1130350,Jake Harris,1002457,,C1005X5R1C104K050BA,,13849,0.02,USD,1824,,,,,,ROHS Quote #394762,
1130350,Jake Harris,1002337,,LT3070EUFD#PBF,,279,4.00,USD,14,,,,Stock,,,New in stock
1130350,Jake Harris,1003743,,C1812C335K1RAC7800,KEMET,9,11.15,EUR,20,,,,In stock,MX,Y,ROHS Cut tape COO Mexico
1130350,Jake Harris,1004879,,LTC3617EUDDPBF,Linear Technology,10,7.50,EUR,11+,,,,In stock,,Y,ROHS QFN24
1130350,Jake Harris,1004879,,NFM18PC225B0J3D,Murata,8000,0.06,EUR,10+,,,,In stock,,Y,ROHS
1130350,Jake Harris,1002506,,LT3973IMSE-5#PBF,Linear Tech,200,7.25,USD,20,,,,,,,
1130350,Jake Harris,1002469,,LTC4357IMS8#PBF,LTC,160,1.00,USD,UNK,,,,Stock,,Y,ROHS Cut tape
1130350,Jake Harris,1004617,,ADG734BRUZ-REEL,,250,3.50,USD,,,,,Stock,,,$50 min order domestic
1130350,Jake Harris,1002948,,MAX3221EEAE+,Maxim,580,2.45,USD,Mixed,,,,Immediate,,,Multiple DC lots
1130350,Jake Harris,1003021,,LTC4263IDE#PBF,Analog Devices,171,2.65,GBP,19+,,,,Stock,MY,,COO Malaysia
1130350,Jake Harris,1004279,,MAX3318EIPWR,,140,0.75,USD,,,,,Stock,,,Cut tape in Digikey bag
1130350,Jake Harris,1002457,,LT3080EDD-1#TRPBF,,1250,1.80,USD,2048,,,,,,,
1130350,Jake Harris,1002595,,CY29946AXC,Cypress,146,3.00,USD,0743,,,,Stock,,Y,ROHS PBF New
1130350,Jake Harris,1002495,,MSP430F149IPM-G4,Texas,29,8.00,USD,05+,,,,Stock,,Y,ROHS
1130350,Jake Harris,1002842,,BCM5241A1IMLG,,376,10.00,USD,,,,,Stock,,,
1130350,Jake Harris,1001041,,12106D476KAT2A,,5174,0.10,USD,Mixed,,,,,,,
1130350,Jake Harris,1005290,,AFBR-709DMZ-IN7,,300,4.50,USD,,,,,Stock HK,CN,,COO China
1130350,Jake Harris,1005505,,AQY210SZ,Nais,1000,1.09,USD,04,,,,3 days,,,Factory new
1130350,Jake Harris,1005611,,AQY210SX,,1181,0.50,USD,17,,,,,,,
1130350,Jake Harris,1002426,,BCM5241A1IMLG,,2000,5.50,USD,22,,,,,,,
1130350,Jake Harris,1002787,,CY8C3866AXI-040T,,40,8.00,USD,,,,,Stock,,,COD terms
1130350,Jake Harris,1002787,,EPM2210F324I5N,Intel,20,74.00,USD,849,,,,Stock,,,COD/CC terms
1130350,Jake Harris,1002457,,SST38VF6401-90-5I-B3KE,Microchip,70,5.00,USD,1630,,,,,,ROHS Trays Quote #394751,
1130350,Jake Harris,1002457,,1210YD226MAT2A,AVX,1488,0.40,USD,11+/04+,,,,,,,
1130350,Jake Harris,1002863,,NFM18PC225B0J3D,,4200,0.025,USD,20+,,,,1 day,,,180 day warranty
1130350,Jake Harris,1004223,,1210YD226MAT2A,AVX,1000,0.50,USD,08+,,,,,JP,,COO JP
1130350,Jake Harris,1005735,,NFM18PC225B0J3D,Murata,8900,0.22,USD,PTF52,,,,,,,
1130350,Jake Harris,1002612,,SST38VF6401-90-5I-B3KE,,9,6.00,USD,1120,,,,,,,
1130350,Jake Harris,1003290,,LTC3617EUDD#PBF,,100,4.00,USD,1237,,,,Stock,,,3rd party T/R
1130350,Jake Harris,1005353,,MAX3318EEUP-T,Maxim,1029,3.00,USD,0528,,,,Stock,,N,NON-ROHS
1130350,Jake Harris,1001208,,SST38VF6401-90-5I-B3KE,Microchip,80,0.94,USD,18+,,,,Stock,,,NCNR $500 PO min
1130350,Jake Harris,1002450,,CDRH3D23NP1R0PC,Sumida,1271,0.18,USD,13,,,,1-2 days,CN,,COO China $100 min
1130350,Jake Harris,1003395,,1210YD226MAT2A,AVX,3000,0.65,USD,1001,,,,Stock,,,New 1K/TR
1130350,Jake Harris,1002337,,NFM18PC225B0J3D,Murata,9700,0.69,USD,22,,,,Stock,,,New in stock
1130350,Jake Harris,1002842,,39-29-5243,,10,5.00,USD,,,,,,,,
1130350,Jake Harris,1005293,,MSP430F149IPMG4,,120,9.75,USD,,,,,,,,
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.20,USD,1741,,,,Stock,,Y,Partial reel ROHS
1130350,Jake Harris,1002948,,LTC3617IUDD#PBF,LT,8,6.00,USD,1637,,,,Immediate,,,
1130350,Jake Harris,1003329,,16TQC100M,Sanyo,9400,0.35,,1034,,,,stock,,Y,Poscap
1130350,Jake Harris,1005377,,NFM18PC225B0J3D,Murata,15000,0.22,,2024+,,,,5-7 days,JP,Y,OEM consignment stock EXW France
1130350,Jake Harris,1008419,,MSP430F149IPM,Texas Instruments,225,5.98,,03+,,,,stock,,,FOB Almelo TT in advance 1 year warranty
1130350,Jake Harris,1002948,,LTC3617IUDD#PBF,Linear Technology,8,6,,1637,,,,stock,,Y,Own stock FOB Spain 1-year warranty
1130350,Jake Harris,1005681,,"PCA9517DP,118",NXP,12500,0.25,EUR,12+/13+,,,,,,,T/T in advance Ex work
1130350,Jake Harris,1002911,,146839-3,TYCO,70,3.5,,089,,,,stock,,,
1130350,Jake Harris,1004926,,MAX3221EEAE+T,Maxim,580,3.2,,08+,,,,stock,,Y,
1130350,Jake Harris,1004875,,146839-3,AMP,125,0.8,,2011,,,,stock,MX,,quote valid 14 days
1130350,Jake Harris,1003141,,FTSH-108-01-L-DV-K-P,Murata,4351,0.715,,1806,,,,3-6 business days,JP,Y,
1130350,Jake Harris,1003957,,16TQC100MYF,Panasonic,3000,0.5,,14+,,,,stock,JP,Y,
1130350,Jake Harris,1003141,,FTSH-108-01-L-DV-K-P,Murata,4351,0.715,,1806,,,,stock,,Y,Parts in overseas warehouse
1130350,Jake Harris,1002863,,NFM18PC105R0J3D,Murata,159059,0.012,,2021,,,,1-Day,,,New And Original Parts Warranty 180 days
1130350,Jake Harris,1002714,,J1011F21PNL,Pulse,5600,1,,21,,,,stock,CN,Y,Mixed DC: 21/29 21/02 21/04 21/13
1130350,Jake Harris,1003400,,TPS63060DSCR,Texas Instruments,1000,1.9,,,,,,stock,,,
1130350,Jake Harris,1002999,,FTLX8571D3BCV,Finisar,56,20,,15+,,,,stock,,,New in factory packaging
1130350,Jake Harris,1003327,,PCA9517DP,NXP,2999,0.385,,10+,,,,stock,,,
1130350,Jake Harris,1002276,,12106D476KAT2A,,2500,0.3,,,,,,stock,,,Quote valid 10 days
1130350,Jake Harris,1008205,,"PCA9517DP,118",NXP,2500,0.5,,21,,,,,,,
1130350,Jake Harris,1005735,,FTSH-108-01-L-DV-K-A-P-TR,,600,6.5,,,,,,stock,IL,,EXW Israel TT in advance NCNR
1130350,Jake Harris,1004498,,FTSH10801LDVK,Samtec,2500,1.25,,2023,,,,1-3 day,,,
1130350,Jake Harris,1002377,,C1005X5R1C104K050BA,TDK Corporation,9325,0.005,,10+,,,,stock,,,
1130350,Jake Harris,1003290,,FTSH-108-01-L-DV-P-TR,Samtec,5475,0.75,,2022,,,,stock,,Y,Quote valid 24 hours NCNR
1130350,Jake Harris,1009977,,AQY210SX,Panasonic,2000,0.8,GBP,,,,,stock,,,
1130350,Jake Harris,1002612,,EPM2210F324I5N,Intel/Altera,50,50,,2137,,,,stock,,,Tested at GETS Florida
1130350,Jake Harris,1002457,,C1005X5R1C104K050BA,TDK,13849,0.02,,1824,,,,stock,,Y,Quote# 394762
1130350,Jake Harris,1002337,,LT3070EUFD#PBF,Linear Technology,279,4,,14,,,,stock,,,
1130350,Jake Harris,1003743,,C1812C335K1RAC7800,Kemet,9,11.15,EUR,20,,,,stock,MX,Y,Validity 24 hours EXW
1130350,Jake Harris,1002506,,LT3973IMSE-5#PBF,Linear Technology,200,7.25,,20,,,,stock,,,
1130350,Jake Harris,1002469,,LTC4357IMS8#PBF,Linear Technology,160,1,,UNK,,,,stock,,Y,
1130350,Jake Harris,1004617,,ADG734BRUZ-REEL,Analog Devices,250,3.5,,,,,,stock,,,6 month warranty - $50 min order
1130350,Jake Harris,1002948,,MAX3221EEAE,Maxim,580,2.45,,Multiple,,,,stock,,,Multiple DCs: 1228 (532pcs) 98 (50pcs) 00 (48pcs) 03 (12pcs)
1130350,Jake Harris,1003021,,LTC4263IDE#PBF,Analog Devices,171,2.65,GBP,19+,,,,stock,MY,,
1130350,Jake Harris,1004279,,MAX3318EIPWR,Texas Instruments,140,0.75,,,,,,stock,,,Cut tape in Digikey bag
1130350,Jake Harris,1002457,,LT3080EDD-1#TRPBF,Analog Devices,1250,1.8,,2048,,,,stock,,,quote# 394757
1130350,Jake Harris,1002842,,BCM5241A1IMLG,Broadcom,376,10,,,,,,stock,,,
1130350,Jake Harris,1001041,,12106D476KAT2A,Kyocera,5174,0.1,,mixed,,,,stock,,,Multiple date codes
1130350,Jake Harris,1005290,,AFBR-709DMZ-IN7,Broadcom,300,4.5,,,,,,stock,CN,,Stock in Hong Kong
1130350,Jake Harris,1005505,,AQY210SZ,Nais,1000,1.09,,04,,,,3 Days,,,USA Stock 30 Days DOA 120 days warranty
1130350,Jake Harris,1005611,,AQY210SX,Panasonic,1181,0.5,,17,,,,stock,,,
1130350,Jake Harris,1002426,,BCM5241A1IMLG,Broadcom,2000,5.5,,22,,,,stock,,,
1130350,Jake Harris,1002787,,CY8C3866AXI-040T,Infineon,40,8,,,,,,stock,,,
1130350,Jake Harris,1002787,,EPM2210F324I5N,Intel,20,74,,849,,,,stock,,,
1130350,Jake Harris,1002457,,SST38VF6401-90-5I-B3KE,Microchip,70,5,,1630,,,,stock,,Y,Trays quote# 394751
1130350,Jake Harris,1002457,,1210YD226MAT2A,AVX,1488,0.4,,11+/04+,,,,stock,,Y,513pcs 11+ 975pcs 04+. quote# 394748
1130350,Jake Harris,1002863,,NFM18PC225B0J3D,Murata,4252,0.025,,20+,,,,1-Day,,,New And Original Parts Warranty 180 days
1130350,Jake Harris,1004223,,1210YD226MAT2A,AVX,1000,0.5,,08+,,,,stock,JP,,
1130350,Jake Harris,1005735,,NFM18PC225B0J3D,Murata,8900,0.22,,PTF52,,,,stock,,,Quote# 007537 EXW Israel
1130350,Jake Harris,1002612,,SST38VF6401-90-5I-B3KE,Microchip,9,6,,1120,,,,stock,,,factory new C/C Terms
1130350,Jake Harris,1005353,,MAX3318EEUP-T,Maxim,1029,3,,0528,,,,stock,,N,NON ROHS
1130350,Jake Harris,1001208,,SST38VF6401-90-5I-B3KE,Microchip,80,0.94,,18+,,,,stock,,,Flip Electronics - $500 PO minimum NCNR
1130350,Jake Harris,1002450,,CDRH3D23NP1R0PC,SUM,1271,0.18,,13,,,,1-2 business days,CN,Y,AER Worldwide - Min Order $100 30-day warranty
1130350,Jake Harris,1003395,,1210YD226MAT2A,AVX,3000,0.65,,1001,,,,stock,,,Legend Electronics - Min order $100 FOB HNY
1130350,Jake Harris,1002337,,NFM18PC225B0J3D,Murata,9741,0.69,,22,,,,stock,,,Select Technology - new in stock
1130350,Jake Harris,1002842,,39-29-5243,,10,5,,,,,,stock,,,Nexus Electronics
1130350,Jake Harris,1005549,,MSP430F149IPMG4,,120,9.75,,,,,,stock,,,EGB Inc
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.2,,1741,,,,stock,,Y,Inventory Management Partners
1130350,Jake Harris,1003321,,HX1188FNLT,,4316,1.75,USD,19+,,,,stock,,,Quote #237386
1130350,Jake Harris,1002579,,CY29946AXC,,113,5.30,USD,1243,,,,stock,,,Quote QT1073829
1130350,Jake Harris,1002568,,MAX3318EIPWR,,775,2.00,USD,09+,,,,stock,,,Partial reel from DigiKey
1130350,Jake Harris,1002595,,MAX3221EEAE+,,580,1.25,USD,1514+,,,,stock,,,1032 pcs total available
1130350,Jake Harris,1005515,,FTLX8571D3BCV-IT,,225,15.80,USD,,,,,stock,,,
1130350,Jake Harris,1001088,,LT1618EDD#TRPBF,,1250,3.00,USD,19,,,,stock,,,New condition
1130350,Jake Harris,1003161,,BCM5241A1IMLG,,2000,2.20,USD,2146,,,,stock,,,
1130350,Jake Harris,1001088,,146839-3,,141,5.54,USD,08,,,,stock,,,New condition
1130350,Jake Harris,1002522,,MSP430F149IPMR,,1000,1.75,USD,14+,,,,stock,,,1K Reel
1130350,Jake Harris,1002537,,LS14250,,690,2.50,USD,15+,,,,stock,,,
1130350,Jake Harris,1002399,,LT3080EDD-1,,746,1.75,USD,1633,,,,stock,,,Partial reel ROHS unknown
1130350,Jake Harris,1002399,,LT3070EUFD#PBF,,148,2.50,USD,17+,,,,stock,,,Tubes ROHS unknown
1130350,Jake Harris,1002550,,12106D476KAT2A,,2000,0.20,USD,1808+,,,,stock,,,
1130350,Jake Harris,1002553,,16TQC100MYF,,1400,0.545,USD,,,,,stock,,,Consignment domestic
1130350,Jake Harris,1002550,,1210YD226MAT2A,,4133,0.30,USD,1641+/1908+/1926+/1738+,,,,stock,,,Multiple date codes
1130350,Jake Harris,1007595,,TPS63060DSCR,,3000,1.30,USD,2307,,,,stock,,,UK warehouse
1130350,Jake Harris,1002482,,16TQC100M,,9400,0.21,USD,,,,,stock,,,ROHS OEM reels
1130350,Jake Harris,1004176,,S102M59Z5UU83L0R,,5,10.00,USD,14,,,,stock,,,Min order qty
1130350,Jake Harris,1002399,,1210YD226MAT2A,,5688,0.16,USD,1730/1432,,,,stock,,,Take all 5 reels
1130350,Jake Harris,1003614,,MSP430F149IPMG4,,150,5.65,USD,1614,,,,stock,,Y,Trays RoHS
1130350,Jake Harris,1002611,,PCA9517DP,,2500,0.50,USD,17+,,,,stock,,,
1130350,Jake Harris,1002449,,LT1618EDD,,605,2.10,USD,,,,,stock,,,MPN without /PBF suffix
1130350,Jake Harris,1002636,,MSP430F149IPM-G4,,20,20.00,USD,0631,,,,stock,,Y,Tray ROHS
1130350,Jake Harris,1002946,,J1011F21PNL,,1640,2.88,USD,23+,,,,stock,,Y,2408 total in org box ROHS
1130350,Jake Harris,1002446,,EP5358LUI,,925,7.66,USD,21+,,,,stock,,,Brand New
1130350,Jake Harris,1002446,,EPM2210F324I5N,,50,40.90,USD,23+,,,,stock,,,Brand New
1130350,Jake Harris,1002428,,MSP430F149IPMG4REVN,,50,3.75,USD,09+,,,,stock,,,NEW SURPLUS
1130350,Jake Harris,1003321,,PCA9517DP,,2500,0.50,USD,21,,,,stock,,,2500pcs/reels
1130350,Jake Harris,1001208,,SST38VF6401-90-5I-B3KE,,80,0.94,USD,18+,,,,stock,,,MOQ 80 $500 min NCNR
1130350,Jake Harris,1002450,,CDRH3D23NP1R0PC,,1271,0.18,USD,13,,,,1-2 days,CN,Y,NEW T/R ROHS COO China
1130350,Jake Harris,1003395,,1210YD226MAT2A,,3000,0.65,USD,1001,,,,stock,,,NEW 1K/TR FOB HNY
1130350,Jake Harris,1002337,,NFM18PC225B0J3D,,9741,0.69,USD,22,,,,stock,,,New in stock
1130350,Jake Harris,1002842,,39-29-5243,,10,5.00,USD,,,,,stock,,,
1130350,Jake Harris,1003295,,MSP430F149IPMG4,,120,9.75,USD,,,,,stock,,,
1130350,Jake Harris,1003355,,MAX3318EEUP-T,,1029,3.00,USD,0528,,,,stock,,N,NON ROHS
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.20,USD,1741,,,,stock,,Y,Partial reel ROHS
1130350,Jake Harris,1002948,,LTC3617IUDD#PBF,,8,6.00,USD,1637,,,,stock,,,FOB Spain 1yr warranty
