RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130350,Jake Harris,1004498,,FTSH10801LDVK,Samtec,2500,1.25,USD,2023,,,,1-3 days,,Yes,ROHS
1130350,Jake Harris,1003290,,FTSH-108-01-L-DV-P-TR,,5475,0.75,USD,2022,,,,,,Yes,FACTORY T/RS
1130350,Jake Harris,1002457,,C1005X5R1C104K050BA,,13849,0.02,USD,1824,,,,,,Yes,QUOTE #394762
1130350,Jake Harris,1003743,,C1812C335K1RAC7800,KEMET,9,11.15,EUR,20,,,,In stock,Mexico,Yes,ROHS Cut tape COO Mexico
1130350,Jake Harris,1004879,,LTC3617EUDDPBF,Linear Technology,10,7.50,EUR,11+,,,,In stock,,Yes,ROHS QFN24
1130350,Jake Harris,1004879,,NFM18PC225B0J3D,Murata,8000,0.06,EUR,10+,,,,In stock,,Yes,ROHS
1130350,Jake Harris,1002469,,LTC4357IMS8#PBF,LTC,160,1.00,USD,UNK,,,,Stock,,Yes,ROHS Cut tape
1130350,Jake Harris,1002595,,CY29946AXC,Cypress,146,3.00,USD,0743,,,,Stock,,Yes,ROHS PBF New
1130350,Jake Harris,1002495,,MSP430F149IPM-G4,Texas,29,8.00,USD,05+,,,,Stock,,Yes,ROHS
1130350,Jake Harris,1002457,,SST38VF6401-90-5I-B3KE,Microchip,70,5.00,USD,1630,,,,,,Yes,TRAYS QUOTE #394751
1130350,Jake Harris,1005353,,MAX3318EEUP-T,Maxim,1029,3.00,USD,0528,,,,Stock,,No,NON-ROHS
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.20,USD,1741,,,,Stock,,Yes,Partial reel ROHS
1130350,Jake Harris,1003329,,16TQC100M,Sanyo,9400,0.35,,1034,,,,stock,,Yes,Poscap
1130350,Jake Harris,1005377,,NFM18PC225B0J3D,Murata,15000,0.22,,2024+,,,,5-7 days,Japan,Yes,OEM consignment stock EXW France
1130350,Jake Harris,1002948,,LTC3617IUDD#PBF,Linear Technology,8,6,,1637,,,,stock,,Yes,Own stock FOB Spain 1-year warranty
1130350,Jake Harris,1004926,,MAX3221EEAE+T,Maxim,580,3.2,,08+,,,,stock,,Yes,
1130350,Jake Harris,1003141,,FTSH-108-01-L-DV-K-P,Murata,4351,0.715,,1806,,,,3-6 business days,Japan,Yes,
1130350,Jake Harris,1003957,,16TQC100MYF,Panasonic,3000,0.5,,14+,,,,stock,Japan,Yes,
1130350,Jake Harris,1003141,,FTSH-108-01-L-DV-K-P,Murata,4351,0.715,,1806,,,,stock,,Yes,Parts in overseas warehouse
1130350,Jake Harris,1002714,,J1011F21PNL,Pulse,5600,1,,21,,,,stock,China,Yes,Mixed DC: 21/29 21/02 21/04 21/13
1130350,Jake Harris,1003290,,FTSH-108-01-L-DV-P-TR,Samtec,5475,0.75,,2022,,,,stock,,Yes,Quote valid 24 hours NCNR
1130350,Jake Harris,1002457,,C1005X5R1C104K050BA,TDK,13849,0.02,,1824,,,,stock,,Yes,Quote# 394762
1130350,Jake Harris,1003743,,C1812C335K1RAC7800,Kemet,9,11.15,EUR,20,,,,stock,Mexico,Yes,Validity 24 hours EXW
1130350,Jake Harris,1002469,,LTC4357IMS8#PBF,Linear Technology,160,1,,UNK,,,,stock,,Yes,
1130350,Jake Harris,1002457,,SST38VF6401-90-5I-B3KE,Microchip,70,5,,1630,,,,stock,,Yes,Trays quote# 394751
1130350,Jake Harris,1002457,,1210YD226MAT2A,AVX,1488,0.4,,11+/04+,,,,stock,,Yes,513pcs 11+ 975pcs 04+. quote# 394748
1130350,Jake Harris,1005353,,MAX3318EEUP-T,Maxim,1029,3,,0528,,,,stock,,No,NON ROHS
1130350,Jake Harris,1002450,,CDRH3D23NP1R0PC,SUM,1271,0.18,,13,,,,1-2 business days,China,Yes,Min Order $100 30-day warranty
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.2,,1741,,,,stock,,Yes,
1130350,Jake Harris,1003614,,MSP430F149IPMG4,,150,5.65,USD,1614,,,,stock,,Yes,Trays RoHS
1130350,Jake Harris,1002636,,MSP430F149IPM-G4,,20,20.00,USD,0631,,,,stock,,Yes,Tray ROHS
1130350,Jake Harris,1002946,,J1011F21PNL,,1640,2.88,USD,23+,,,,stock,,Yes,2408 total in org box ROHS
1130350,Jake Harris,1002450,,CDRH3D23NP1R0PC,,1271,0.18,USD,13,,,,1-2 days,China,Yes,NEW T/R ROHS COO China
1130350,Jake Harris,1003355,,MAX3318EEUP-T,,1029,3.00,USD,0528,,,,stock,,No,NON ROHS
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.20,USD,1741,,,,stock,,Yes,Partial reel ROHS
