emailId,mpn,qty,price,dc,vendor_email,vendor_name,vendor_search_key,rfq_number
2195,MPZ2012S101AT000,7000,0.01,2204+,sal@prismelectronics.net,Prism Electronics,NOT_FOUND,1129117
2239,FSM4JSMATR,3925,0.1,,julia.wu@ultrontech.co.uk,Ultron Tech,NOT_FOUND,1130292
4168,DG403DYZ,7,14.29,,sales@sierraic.com,Sierra IC Inc,1002573,1130292
5738,PCL037-0,2,1.8,,hicks@standardsupply.com,Standard Supply Electronics,NOT_FOUND,1130292
6774,1393280-5,14,7.15,,pweitz@semisourceinc.com,Semi Source Inc.,NOT_FOUND,1130292
6777,LM2591HVS-5.0/NOPB,5,10,,sales@componentonline.com,Component Electronics Inc.,1003092,1128099
6779,BCP53-16TX,26000,0.73,25+,es@sebacomp.com,SEBACOMP,1004090,1130292
6788,80CPQ150PBF,50,3.13,06+,info@tautec-electronics.de,Tautec Electronics,1003181,1130292
6794,DG403DYZ,22,3,10+,igal@electrion.co.il,Electrion Ltd.,1004137,1130292
6797,80CPQ150PBF,261,2,08+,pbrasme@holdelec.fr,HOLDELEC,1003216,1130292
6798,LM2901AVQDRQ1,325,2.1,15+,benedek@ic-tronix.com,IC TRONIX INC,NOT_FOUND,1128746
6805,ISO7740DWR,1200,1,,b.isikgoz@koel.com.tr,KOEL,NOT_FOUND,1130292
6806,P600M,18500,0.15,2601,bob@elitesemi.com,Elite Semiconductor Products,1004574,1130292
6807,TG110-S050N2LFTR,1000,0.595,22+,agiovan@carlinsystems.com,Carlin Systems Inc,1002999,1130292
6808,FWH-125B,7,95,,gust@electronicsurplus.com,Electronic Surplus,1003324,1130292
6809,BTS723GW,379,2.35,0814,sara@rightpartsonline.com,Right Parts Inc,1002498,1128746
6811,DG403DY-E3,60,1.25,,juan@dfsales.com,DF Sales Co,1002276,1130292
6812,TG110-S050N2LFTR,252,0.87,2020,justin@braunec.com,Braun Electronic Components,1002892,1130292
6816,J0011D21BNL,700,2.344,,JamesB@pccomponents.com,PC Components Company,1002553,1130292
