emailId,mpn,qty,price,dc,vendor_email,vendor_name,vendor_search_key,rfq_number
6973,S1J-HE3/61T,84000,0.07,0651,sales@zilex.ca,Zilex electronics Inc.,1006047,NOT_FOUND
6963,IXDD609SI,160,0.89,,sales@voyagercomponents.com,Voyager Components,1002571,1130577
6974,TG110-S050N2LF-TR,750,0.75,18+,mike@integratedelec.com,Integrated Electronics Company,1002612,1130292
6994,J0011D21BNL,20,4,,amy.g@hybridelectronics.com,Hybrid Electronics Corporation,NOT_FOUND,1130292
6992,L50QS125,3,209.99,,accordtec@gmail.com,Accord Technologies,NOT_FOUND,1130292
6991,FWH-125B,30,119.99,,accordtec@gmail.com,Accord Technologies,NOT_FOUND,1130292
7003,SM24CANB-02HTG,10,6,2014,sal@prismelectronics.net,Prism Electronics,1002482,1130577
6953,BCP53-16TX,700,0.383,2022,mmichnik@micros.com.pl,Micros sp.j.,NOT_FOUND,1130577
6987,HCF4093M013TR,14935,0.15,12+,linus.jonsson@j2sourcing.com,J2 Sourcing,1002946,1130577
6960,LM2585S-5.0/NOPB,135,4.35,08,linus.jonsson@j2sourcing.com,J2 Sourcing,1002946,1130577
6969,B72510E300K62,3000,0.06,2022,mmichnik@micros.com.pl,Micros sp.j.,NOT_FOUND,1130577
6971,BCP53-16TX,700,0.383,2022,mmichnik@micros.com.pl,Micros sp.j.,NOT_FOUND,1130577
6976,0251002.MRT1L,40,1.75,,morgan.snell@chemigraphic.co.uk,Chemigraphic Ltd.,NOT_FOUND,1130292
6977,B72510E300K62,3000,0.0567,2022,mmichnik@micros.com.pl,Micros sp.j.,NOT_FOUND,1130577
6985,TPS73801DCQR,300,1.35,18+,sales@flychips.com,Fly Chips Electronics,1005735,1130577
6979,SBAS16LT3G,32600,0.009,0809,sales@inelcocomponents.com,INELCO Components,1002948,1130292
6984,MAX3086ESD+,100,3.72,,anna.sandri@eas.it,EAS S.p.A.,NOT_FOUND,NOT_FOUND
6986,DG403DY-T1-E3,24,5,18+,distysales@northshorecomponents.com,North Shore Components,1002550,1130292
6968,594D127X0020R2T,410,0.98,0926,shai@speedc.co.il,Speed Components Ltd.,1004411,1130292
6962,MPZ2012S101AT000,3860,0.06,1025,orderdesk@components.se,ECAB,1005880,1130292
6964,P600M,23500,0.059,25+,netcomponents@prodeldistribuzione.it,Prod.El. Distribuzione srl,NOT_FOUND,1130577
6997,S1JHE3_A/H,9800,0.03,15+,cory@tcxmicro.com,TCX MICRO S.L.,1002568,1130292
6961,LM2903AVQDRG4Q1,2400,0.1,1119,ernst.ruth@micro-components.eu,Micro Components H. GmbH,1003294,NOT_FOUND
6955,LM7805CT,250,1.1,07+,sales@chanetech.com,CHANETECH,1004926,NOT_FOUND
6954,DG403DYE3,6,8,07+,sales@chanetech.com,CHANETECH,1004926,1130292
