RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
[CALCUQUOTE],Jake Harris,1002331,,SMBJ12A,EVVO,15,0.158026,,,10,1,REEL,7 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,5503-24-1,COTO TECHNOLOGY,1775,44.193988,,,105,1,TRAY,112 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002332,,AGQ200A24Z,Panasonic,10985,0.92,,,4500,900,REEL,98 days,,Yes,Supplier: Future
[CALCUQUOTE],Jake Harris,1001051,,XCZU5CG-1SFVC784E,Amd,25,1464.889104,,,1,1,TRAY,154 days,,,Supplier: Avnet
[CALCUQUOTE],Jake Harris,1002689,,FOLC-130-L4-L-Q-LC,SAMTEC,850,10.365993,,,1000,1,F-TUBE,11 days,,,Supplier: Samtec
[CALCUQUOTE],Jake Harris,1002390,,SHV24-1A85-78D3K,StandexMeder Electronics,2190,8.190994,,,1008,1,,126 days,CN,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1001051,,XCZU4CG-1SFVC784E,Amd,5,925.819433,,,1,1,TRAY,154 days,,,Supplier: Avnet
[CALCUQUOTE],Jake Harris,1002339,,CXE480D5,CRYDOM,310,24.379985,,,277,1,,112 days,,Yes,Supplier: Sager
[CALCUQUOTE],Jake Harris,1002394,,MP175-C,PANDUIT,100,1.0108,,,100,100,OTHER,66 days,,Yes,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002390,,LTC2986CLX#PBF,ANALOG DEVICES,235,25.029984,,,250,250,TRAY,70 days,,Yes,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1002390,,FNQ-R-30,EATON CORPORATION,60,47.139971,,,1,1,OTHER,140 days,Mexico,Yes,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1001051,,LP-CC-30,EATON,90,26.038104,,,1,1,BULK,,,,Supplier: Avnet
[CALCUQUOTE],Jake Harris,1002332,,DSP2A-DC24V,Panasonic,510,3.699998,,,250,50,OTHER,112 days,,Yes,Supplier: Future
[CALCUQUOTE],Jake Harris,1002331,,SCT3022ALGC11,ROHM SEMICONDUCTOR,100,34.713845,,,30,1,F-TUBE,189 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,K86X-CD-62S-BR,"Kycon, Inc.",470,6.349241,,,252,1,TRAY,175 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,10582-01,"SICK, Inc.",40,114.03288,,,1,1,BULK,21 days,,Yes,Quoted MPN: 1058201; Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002310,,2841/1 GR005,ALPHA WIRE,25,3.42967,,,30.5,30.5,REEL,175 days,MX,Yes,Supplier: Farnell
[CALCUQUOTE],Jake Harris,1002390,,N3433-6303RB,3M,630,4.252998,,,600,1,,63 days,,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002390,,LMZ14202HTZE/NOPB,Texas Instruments,255,12.239992,,,250,1,,42 days,,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002331,,2043650006,MOLEX,310,10.797621,,,252,1,TRAY,98 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1003096,,LR1200480D25,CRYDOM,50,44.649973,,,50,1,OTHER,112 days,,No,Supplier: TTI
[CALCUQUOTE],Jake Harris,1002409,,LR1200480D40,Sensata / Crydom,50,48.94997,,,40,1,OTHER,98 days,MX,Yes,Supplier: Master Electronics
[CALCUQUOTE],Jake Harris,1002310,,LTC2312HTS8-14#TRMPBF,ANALOG DEVICES,160,17.570304,,,100,1,OTHER,99 days,PH,Yes,Supplier: Farnell
[CALCUQUOTE],Jake Harris,1002331,,8L02-05-11,COTO TECHNOLOGY,585,4.834994,,,500,1,F-TUBE,112 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,MAX306EUI+,Analog Devices Inc./Maxim Integrated,70,16.573404,,,50,1,F-TUBE,70 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,CJT-T-P-HH-ST-TH1,Samtec Inc.,95,14.1224,,,50,1,TRAY,28 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1001051,,XC6SLX100-3FGG484C,Amd,10,241.919852,,,1,1,TRAY,112 days,,,Supplier: Avnet
[CALCUQUOTE],Jake Harris,1002331,,6560N112J103P,Knowles Novacap,60,38.073456,,,10,1,REEL,119 days,,No,Quoted MPN: 6560N112J103PT; Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002394,,MAX14915AFM+,ANALOG DEVICES,235,8.029995,,,100,1,OTHER,116 days,,Yes,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002390,,KLKR007.T,Littelfuse,80,12.642992,,,50,1,,70 days,,,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002331,,MAX5903NNETT+T,Analog Devices Inc./Maxim Integrated,425,4.369917,,,250,1,CUT TAPE,70 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002394,,22.1100,Staubli,360,2.079999,,,10,1,OTHER,73 days,,Yes,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002331,,EPM1270T144C4N,ALTERA,20,83.994624,,,1,1,TRAY,364 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002394,,IP5-04-01-L-S-RA1-L-TR,SAMTEC,100,11.609994,,,100,1,CUT TAPE,18 days,,Yes,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002331,,LCMXO2280C-3FTN256C,Lattice Semiconductor Corporation,40,32.296683,,,25,1,TRAY,280 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002390,,254124-E,TE Connectivity,120,8.210232,,,126,42,OTHER,21 days,,Yes,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1002390,,RP-2406S,RECOM,100,12.256992,,,100,1,,112 days,,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002390,,LTM4622EV#PBF,ANALOG DEVICES,85,10.799993,,,1,1,TRAY,77 days,Malaysia,,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1002394,,LT1499CS#PBF,ANALOG DEVICES,80,9.299994,,,50,1,OTHER,110 days,,Yes,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002390,,DLS3XS4AA35X,Conec,585,1.524999,,,100,1,,182 days,,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002390,,KLKR006.T,Littelfuse,40,10.973993,,,25,1,,49 days,,,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002338,,550-1304F,DIALIGHT,985,0.606658,,,1000,1,BULK,84 days,,Yes,Supplier: Mouser
[CALCUQUOTE],Jake Harris,1002390,,0826-1X2T-23-F,BEL Stewart Connector,80,7.249996,,,1,1,BULK,84 days,China,,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1002394,,MOLC-150-31-L-Q-LC,SAMTEC,20,40.809975,,,10,1,OTHER,22 days,,No,Supplier: Newark
[CALCUQUOTE],Jake Harris,1002390,,R-7315P,RECOM,20,24.579985,,,15,1,,119 days,,Yes,Supplier: Arrow Americas
[CALCUQUOTE],Jake Harris,1002331,,MOX91022505FTE,Ohmite,40,19.443845,,,30,1,BULK,224 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002331,,10139781-122402LF,Amphenol ICC (FCI),105,4.858618,,,100,1,CUT TAPE,112 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002409,,535032-4,TE Connectivity / AMP Brand,90,5.019997,,,60,30,OTHER,35 days,CN,No,Supplier: Master Electronics
[CALCUQUOTE],Jake Harris,1002689,,IP5-04-05.0-L-S-1-L-TR,SAMTEC,40,10.349994,,,1,1,REEL,6 days,,,Supplier: Samtec
[CALCUQUOTE],Jake Harris,1001051,,142-4701-501,bel,45,8.812494,,,25,1,BULK,56 days,,,Supplier: Avnet
[CALCUQUOTE],Jake Harris,1002331,,MTFC64GBCAQTC-WT,Micron Technology Inc.,30,58.161456,,,25,1,TRAY,182 days,,Yes,Supplier: DigiKey
[CALCUQUOTE],Jake Harris,1002390,,IRLB4030PBF,Infineon Technologies,140,0.989171,,,1,1,F-TUBE,105 days,China,,Supplier: MyArrow
[CALCUQUOTE],Jake Harris,1002331,,INA111AU,Texas Instruments,40,13.264106,,,40,1,F-TUBE,42 days,,Yes,Supplier: DigiKey
