emailId,mpn,qty,price,dc,vendor_email,vendor_name,vendor_search_key,rfq_number,notes,mfr,currency,moq,spq,packaging,lead_time,coo,rohs
2194,SPP11N80C3,0,0,,fpetrone@kcelectronics.com,KC Electronics,1006476,1130292,,,USD,,,,,,
2195,MPZ2012S101AT000,7000,0.01,2204+,sal@prismelectronics.net,Prism Electronics,1002482,1129117,,,USD,,,,,,
2206,TPS73801DCQR,0,0,,kevin@crosscomponents.com,Cross Components,1003127,1130292,,,USD,,,,,,
2208,LM2591HVSX-5.0/NOPB,0,0,,dmac10575@gmail.com,Dan McCoomb,1006191,1130292,,,USD,,,,,,
2212,P600M,0,0,,m.diresta@verizon.net,Michael Diresta,1003165,1130292,,,USD,,,,,,
2223,DG403DYZ,0,0,,rfq@reboundeu.com,Rebound EU,1002855,1130292,,,USD,,,,,,
2248,SPP11N80C3,0,0,,fpetrone@kcelectronics.com,KC Electronics,1006476,1130292,,,USD,,,,,,
3780,LM2903AVQDRG4Q1,0,0,,oliver@alpha-chip.com,Alpha Chip Electronics,1005479,NOT_FOUND,,,USD,,,,,,
4168,DG403DYZ,7,14.29,,sales@sierraic.com,Sierra IC Inc,1002573,1130292,,,USD,,,,,,
4452,DS3231SN#T&R,0,0,,nickb@chip1.com,Chip 1 Exchange USA,1002494,1130350,,,USD,,,,,,
4463,FWH-125B,1,53,,tomas.pliva@semic.cz,Semic Trade,1004869,1130292,,,USD,,,,,,
4472,SS26HE3_A/H,6000,0.19,2025,jack.staveley@ecomal.com,ECOMAL UK Ltd.,1002981,1130292,,,USD,,,,,,
4475,DG403DY-E3,2100,1.17,2025,jack.staveley@ecomal.com,ECOMAL UK Ltd.,1002981,1130292,,,USD,,,,,,
4533,FZT751TA,0,0,,m.diresta@verizon.net,Michael Diresta,1003165,1130292,,,USD,,,,,,
5736,P600M-E3/73,300,0.23,2025,jack.staveley@ecomal.com,ECOMAL UK Ltd.,1002981,1130292,,,USD,,,,,,
5737,TPS73801DCQR,0,0,,sales@flychips.com,Fly Chips Electronics,1005735,1130292,,,USD,,,,,,
5739,BTS723GW,0,0,,al@sdrinc.com,Standard Data Resources,1002950,1130292,,,USD,,,,,,
5740,FSM4JSMATR,346,0.07,,fred@elcomcomponents.com,Elcom Components Inc.,1002377,1130292,,,USD,,,,,,
5740,LM2591HVSX-ADJ/NOPB,30,1.86,,fred@elcomcomponents.com,Elcom Components Inc.,1002377,1130292,,,USD,,,,,,
5740,S1JHE3_A/H,36,0.05,,fred@elcomcomponents.com,Elcom Components Inc.,1002377,1130292,,,USD,,,,,,
5740,ISO7740DWR,16,0.8,,fred@elcomcomponents.com,Elcom Components Inc.,1002377,1130292,,,USD,,,,,,
5740,ISO7742DWR,5900,0.4,,fred@elcomcomponents.com,Elcom Components Inc.,1002377,1130292,,,USD,,,,,,
5744,S1JHE3_A/H,34200,0.029,2025,jack.staveley@ecomal.com,ECOMAL UK Ltd.,1002981,1130292,,,USD,,,,,,
5746,P600M,44500,0.066,2533+,gocar@gocarelectronic.es,Gocar Electronic S.L,1007365,1130292,,,USD,,,,,,
5747,B340Q-13-F,0,0,,crobinson@omegagti.com,Omega GTI,1002833,1130292,,,USD,,,,,,
6068,594D127X0020R2T,600,2.5,200318,sales@cvc-components.com,CVC Components Ltd,1002947,1130292,,,USD,,,,,,
6069,LM2901AVQDRG4,4,12.5,,sales@cvc-components.com,CVC Components Ltd,1002947,1128746,,,USD,,,,,,
6774,1393280-5,14,7.15,,pweitz@semisourceinc.com,Semi Source Inc.,1001041,1130292,,,USD,,,,,,
