RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130292,Jake Harris,1006476,,SPP11N80C3,,0,0,USD,,,,,,,,
1129117,Jake Harris,1002482,,MPZ2012S101AT000,,7000,0.01,USD,2204+,,,,,,,
1130292,Jake Harris,1003127,,TPS73801DCQR,,0,0,USD,,,,,,,,
1130292,Jake Harris,1006191,,LM2591HVSX-5.0/NOPB,,0,0,USD,,,,,,,,
1130292,Jake Harris,1003165,,P600M,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002855,,DG403DYZ,,0,0,USD,,,,,,,,
1130292,Jake Harris,1006476,,SPP11N80C3,,0,0,USD,,,,,,,,
NEEDS_RFQ,Jake Harris,1005479,,LM2903AVQDRG4Q1,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002573,,DG403DYZ,,7,14.29,USD,,,,,,,,
1130350,Jake Harris,1002494,,DS3231SN#T&R,,0,0,USD,,,,,,,,
1130292,Jake Harris,1004869,,FWH-125B,,1,53,USD,,,,,,,,
1130292,Jake Harris,1002981,,SS26HE3_A/H,,6000,0.19,USD,2025,,,,,,,
1130292,Jake Harris,1002981,,DG403DY-E3,,2100,1.17,USD,2025,,,,,,,
1130292,Jake Harris,1003165,,FZT751TA,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002981,,P600M-E3/73,,300,0.23,USD,2025,,,,,,,
1130292,Jake Harris,1005735,,TPS73801DCQR,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002950,,BTS723GW,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002377,,FSM4JSMATR,,346,0.07,USD,,,,,,,,
1130292,Jake Harris,1002377,,LM2591HVSX-ADJ/NOPB,,30,1.86,USD,,,,,,,,
1130292,Jake Harris,1002377,,S1JHE3_A/H,,36,0.05,USD,,,,,,,,
1130292,Jake Harris,1002377,,ISO7740DWR,,16,0.8,USD,,,,,,,,
1130292,Jake Harris,1002377,,ISO7742DWR,,5900,0.4,USD,,,,,,,,
1130292,Jake Harris,1002981,,S1JHE3_A/H,,34200,0.029,USD,2025,,,,,,,
1130292,Jake Harris,1007365,,P600M,,44500,0.066,USD,2533+,,,,,,,
1130292,Jake Harris,1002833,,B340Q-13-F,,0,0,USD,,,,,,,,
1130292,Jake Harris,1002947,,594D127X0020R2T,,600,2.5,USD,200318,,,,,,,
1128746,Jake Harris,1002947,,LM2901AVQDRG4,,4,12.5,USD,,,,,,,,
1130292,Jake Harris,1001041,,1393280-5,,14,7.15,USD,,,,,,,,
NEEDS_RFQ,Jake Harris,1006704,,BAS16215,,81000,0.07,USD,25+,,,,,,,
1130292,Jake Harris,1001041,,0251002.MXL,,118,1,USD,,,,,,,,
1128099,Jake Harris,1003092,,LM2591HVS-5.0/NOPB,,5,10,USD,,,,,,,,
1130292,Jake Harris,1003092,,LM2591HVS-5.0/NOPB,,5,10,USD,,,,,,,,
1130292,Jake Harris,1004090,,BCP53-16TX,,26000,0.73,USD,25+,,,,,,,
1130292,Jake Harris,1002399,,594D127X0020R2T,,410,2,USD,04+,,,,,,,
NEEDS_RFQ,Jake Harris,1002514,,BAS16-235,,1900,0.027,USD,21,,,,,,,
1130292,Jake Harris,1004598,,IXDD609SI,,100,5,USD,,,,,,,,
1130292,Jake Harris,1003181,,80CPQ150PBF,,50,3.13,USD,06+,,,,,,,
1130292,Jake Harris,1003181,,80CPQ150PBF,,50,3.13,USD,06+,,,,,,,
1130292,Jake Harris,1002926,,FWH-125B,,14,104.03,USD,,,,,,,,
1130292,Jake Harris,1003059,,DG403DY-T1-E3,,1069,1.45,USD,1544,,,,,,,
1130292,Jake Harris,1004137,,DG403DYZ,,22,3,USD,10+,,,,,,,
1130292,Jake Harris,1004137,,DG403DYZ,,22,3,USD,10+,,,,,,,
1130292,Jake Harris,1002636,,FWH-125B,,6,85,USD,07,,,,,,,
1130292,Jake Harris,1003216,,80CPQ150PBF,,261,2,USD,08+,,,,,,,
1128746,Jake Harris,1002611,,LM2901AVQDRQ1,,325,2.1,USD,15+,,,,,,,
NEEDS_RFQ,Jake Harris,1002611,,LM2903AVQDRG4Q1,,63,9.5,USD,14+,,,,,,,
1128746,Jake Harris,1003646,,LM2901AVQDRG4Q1,,3300,0.45,USD,22,,,,,,,
1130292,Jake Harris,1003646,,LM2903AVQDR,,2400,0.19,USD,22,,,,,,,
1130292,Jake Harris,1003646,,J0011D21BNL,,775,1.95,USD,23,,,,,,,
NEEDS_RFQ,Jake Harris,1003646,,LM7805CT/NOPB,,250,0.84,USD,24/25,,,,,,,
1130292,Jake Harris,1004574,,P600M,,18500,0.15,USD,2601,,,,,,,
1130292,Jake Harris,1002999,,TG110-S050N2LFTR,,1000,0.595,USD,22+,,,,,,,
1130292,Jake Harris,1003324,,FWH-125B,,7,95,USD,,,,,,,,
1128746,Jake Harris,1002498,,BTS723GW,,379,2.35,USD,0814,,,,,,,
